_id,key,red3_team,red2_team,red1_team,blue3_team,blue2_team,blue1_team,red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
67da17083136e1e6940cbf45,2025mosl_qm15,3792,7117,9428,3792,7117,9428,1595,1463,1525,1595,1463,1525,34.98,16.84,24.82,34.98,16.84,24.82,8.11,4.24,4.77,8.11,4.24,4.77,21.84,8.32,17.88,21.84,8.32,17.88,5.03,4.29,2.17,5.03,4.29,2.17,549,2455,1253,549,2455,1253,0.4615,0.5,0.4167,0.4615,0.5,0.4167,69,83
67da17083136e1e6940cbf46,2025mosl_qm16,2506,5583,554,2506,5583,554,1598,1405,1606,1598,1405,1606,35.43,10.55,36.58,35.43,10.55,36.58,2.93,1.79,7.93,2.93,1.79,7.93,25.55,6.57,22.63,25.55,6.57,22.63,6.95,2.2,6.02,6.95,2.2,6.02,529,3322,487,529,3322,487,0.4286,0.2,0.5333,0.4286,0.2,0.5333,103,120
67da17083136e1e6940cbf47,2025mosl_qm17,5176,7472,1775,5176,7472,1775,1445,1473,1490,1445,1473,1490,14.87,18.09,20.22,14.87,18.09,20.22,4.04,4.75,3.11,4.04,4.75,3.11,10.51,12.61,14.45,10.51,12.61,14.45,0.32,0.73,2.66,0.32,0.73,2.66,2735,2115,1796,2735,2115,1796,0.5,0.5,0.6154,0.5,0.5,0.6154,57,33
67da17083136e1e6940cbf48,2025mosl_qm18,5060,5822,6391,5060,5822,6391,1465,1519,1594,1465,1519,1594,17.16,23.98,34.77,17.16,23.98,34.77,3.82,5.38,6.25,3.82,5.38,6.25,10.95,16.28,26.55,10.95,16.28,26.55,2.38,2.32,1.96,2.38,2.32,1.96,2397,1336,564,2397,1336,564,0.5,0.4,0.5385,0.5,0.4,0.5385,82,44
67da17083136e1e6940cbf49,2025mosl_qm19,8077,4256,1288,8077,4256,1288,1433,1633,1406,1433,1633,1406,13.49,40.65,10.68,13.49,40.65,10.68,2.96,7.86,2.52,2.96,7.86,2.52,7.5,26.88,5.82,7.5,26.88,5.82,3.03,5.9,2.34,3.03,5.9,2.34,2953,355,3310,2953,355,3310,0.5455,0.6154,0.3,0.5455,0.6154,0.3,69,38
67da17083136e1e6940cbf4a,2025mosl_qm2,7496,10317,3397,7496,10317,3397,1462,1496,1460,1462,1496,1460,16.77,20.89,16.55,16.77,20.89,16.55,3.44,5.58,3.06,3.44,5.58,3.06,10.59,12.25,10.52,10.59,12.25,10.52,2.75,3.06,2.97,2.75,3.06,2.97,2467,1712,2498,2467,1712,2498,0.5,0.5,0.6364,0.5,0.5,0.6364,42,54
67da17083136e1e6940cbf4b,2025mosl_qm20,967,3792,6744,967,3792,6744,1624,1595,1477,1624,1595,1477,39.31,34.98,18.61,39.31,34.98,18.61,5.16,8.11,3.53,5.16,8.11,3.53,26.47,21.84,13.25,26.47,21.84,13.25,7.67,5.03,1.83,7.67,5.03,1.83,390,549,2037,390,549,2037,0.7333,0.4615,0.4,0.7333,0.4615,0.4,108,66
67da17083136e1e6940cbf4c,2025mosl_qm21,7117,4931,7496,7117,4931,7496,1463,1459,1462,1463,1459,1462,16.84,16.49,16.77,16.84,16.49,16.77,4.24,2.25,3.44,4.24,2.25,3.44,8.32,6.92,10.59,8.32,6.92,10.59,4.29,7.32,2.75,4.29,7.32,2.75,2455,2507,2467,2455,2507,2467,0.5,0.5333,0.5,0.5,0.5333,0.5,41,162
67da17083136e1e6940cbf4d,2025mosl_qm22,2408,5889,8719,2408,5889,8719,1312,1458,1389,1312,1458,1389,1.23,16.32,8.88,1.23,16.32,8.88,0.17,3.09,1.49,0.17,3.09,1.49,0.45,9.05,5.91,0.45,9.05,5.91,0.61,4.18,1.47,0.61,4.18,1.47,3704,2526,3470,3704,2526,3470,0.2,0.4,0.2,0.2,0.4,0.2,27,54
67da17083136e1e6940cbf4e,2025mosl_qm23,5492,5176,4330,5492,5176,4330,1530,1445,1505,1530,1445,1505,25.53,14.87,22.06,25.53,14.87,22.06,3.28,4.04,2.55,3.28,4.04,2.55,17.04,10.51,17.12,17.04,10.51,17.12,5.22,0.32,2.39,5.22,0.32,2.39,1180,2735,1569,1180,2735,1569,0.5385,0.5,0.3333,0.5385,0.5,0.3333,59,104
