red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
1371,1495,1572,1371,1495,1572,7.03,20.87,31.53,7.03,20.87,31.53,4.81,4.22,4.13,4.81,4.22,4.13,3.41,14.88,25.89,3.41,14.88,25.89,-1.18,1.77,1.52,-1.18,1.77,1.52,3573,1714,719,3573,1714,719,0.3333,0.6429,0.5556,0.3333,0.6429,0.5556,60,53
1525,1449,1467,1525,1449,1467,24.83,15.34,17.42,24.83,15.34,17.42,3.92,3.3,3.5,3.92,3.3,3.5,18.06,11.08,11.19,18.06,11.08,11.19,2.85,0.96,2.74,2.85,0.96,2.74,1252,2669,2353,1252,2669,2353,0.4286,0.4,0.6154,0.4286,0.4,0.6154,76,88
1376,1505,1429,1376,1505,1429,7.54,22.11,13.06,7.54,22.11,13.06,3.22,3.25,2.75,3.22,3.25,2.75,3.38,18.03,8.85,3.38,18.03,8.85,0.94,0.83,1.47,0.94,0.83,1.47,3554,1561,3007,3554,1561,3007,0.35,0.5769,0.35,0.35,0.5769,0.35,15,29
1623,1568,1471,1623,1568,1471,39.07,31.07,17.86,39.07,31.07,17.86,3.52,5.63,3.36,3.52,5.63,3.36,34.94,17.97,13.58,34.94,17.97,13.58,0.62,7.47,0.91,0.62,7.47,0.91,396,750,2273,396,750,2273,0.625,0.5781,0.3864,0.625,0.5781,0.3864,100,29
1513,1537,1610,1513,1537,1610,23.24,26.48,37.17,23.24,26.48,37.17,2.66,4.81,4.67,2.66,4.81,4.67,19.52,20.05,31.13,19.52,20.05,31.13,1.06,1.62,1.37,1.06,1.62,1.37,1418,1090,462,1418,1090,462,0.4286,0.463,0.6613,0.4286,0.463,0.6613,76,42
1585,1475,1384,1585,1475,1384,33.45,18.32,8.39,33.45,18.32,8.39,6.2,2.43,0.8,6.2,2.43,0.8,23.08,13.93,7.09,23.08,13.93,7.09,4.17,1.96,0.5,4.17,1.96,0.5,620,2084,3506,620,2084,3506,0.5333,0.5833,0.2,0.5333,0.5833,0.2,36,45
1450,1391,1494,1450,1391,1494,15.41,9.05,20.68,15.41,9.05,20.68,3.11,2.6,2.74,3.11,2.6,2.74,10.0,5.94,12.43,10.0,5.94,12.43,2.3,0.5,5.51,2.3,0.5,5.51,2662,3452,1737,2662,3452,1737,0.5455,0.2,0.6,0.5455,0.2,0.6,49,146
1399,1537,1585,1399,1537,1585,9.9,26.48,33.45,9.9,26.48,33.45,2.45,4.81,6.2,2.45,4.81,6.2,5.65,20.05,23.08,5.65,20.05,23.08,1.8,1.62,4.17,1.8,1.62,4.17,3387,1090,620,3387,1090,620,0.25,0.463,0.5333,0.25,0.463,0.5333,17,16
1505,1528,1410,1505,1528,1410,22.11,25.31,11.09,22.11,25.31,11.09,3.25,3.78,1.92,3.25,3.78,1.92,18.03,20.39,6.86,18.03,20.39,6.86,0.83,1.13,2.3,0.83,1.13,2.3,1561,1205,3256,1561,1205,3256,0.5769,0.5577,0.5,0.5769,0.5577,0.5,38,32
1480,1440,1572,1480,1440,1572,18.89,14.27,31.53,18.89,14.27,31.53,3.44,1.82,4.13,3.44,1.82,4.13,14.17,11.08,25.89,14.17,11.08,25.89,1.28,1.37,1.52,1.28,1.37,1.52,1990,2837,719,1990,2837,719,0.5417,0.4,0.5556,0.5417,0.4,0.5556,85,65
