red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
1453,1747,1517,1453,1747,1517,15.8,57.89,23.7,15.8,57.89,23.7,2.46,13.79,4.1,2.46,13.79,4.1,12.38,35.07,18.0,12.38,35.07,18.0,0.96,9.04,1.6,0.96,9.04,1.6,2605,94,1360,2605,94,1360,0.2667,0.8333,0.3333,0.2667,0.8333,0.3333,97,101
1445,1424,1741,1445,1424,1741,14.86,12.51,56.97,14.86,12.51,56.97,4.1,5.48,14.84,4.1,5.48,14.84,8.83,4.5,35.04,8.83,4.5,35.04,1.92,2.53,7.09,1.92,2.53,7.09,2737,3080,104,2737,3080,104,0.4737,0.4118,0.7941,0.4737,0.4118,0.7941,118,86
1402,1379,1380,1402,1379,1380,10.26,7.9,8.02,10.26,7.9,8.02,3.33,2.64,2.18,3.33,2.64,2.18,3.88,3.15,4.82,3.88,3.15,4.82,3.06,2.11,1.02,3.06,2.11,1.02,3352,3539,3535,3352,3539,3535,0.3182,0.4167,0.4167,0.3182,0.4167,0.4167,47,104
1480,1445,1357,1480,1445,1357,18.9,14.86,5.63,18.9,14.86,5.63,1.6,4.1,1.0,1.6,4.1,1.0,15.34,8.83,4.2,15.34,8.83,4.2,1.96,1.92,0.43,1.96,1.92,0.43,1986,2737,3638,1986,2737,3638,0.5,0.4737,0.3333,0.5,0.4737,0.3333,52,46
1648,1529,1518,1648,1529,1518,43.12,25.43,23.9,43.12,25.43,23.9,10.09,2.83,7.62,10.09,2.83,7.62,24.35,16.14,13.28,24.35,16.14,13.28,8.68,6.46,3.0,8.68,6.46,3.0,281,1196,1346,281,1196,1346,0.5,0.4286,0.5714,0.5,0.4286,0.5714,128,31
1498,1573,1799,1498,1573,1799,21.19,31.76,65.41,21.19,31.76,65.41,2.23,6.07,15.96,2.23,6.07,15.96,13.09,24.49,38.65,13.09,24.49,38.65,5.86,1.19,10.8,5.86,1.19,10.8,1665,702,41,1665,702,41,0.5172,0.5625,0.8857,0.5172,0.5625,0.8857,102,58
1398,1573,1560,1398,1573,1560,9.77,31.76,29.82,9.77,31.76,29.82,3.4,6.07,5.01,3.4,6.07,5.01,5.29,24.49,23.14,5.29,24.49,23.14,1.07,1.19,1.66,1.07,1.19,1.66,3404,702,823,3404,702,823,0.4375,0.5625,0.625,0.4375,0.5625,0.625,120,90
1639,1445,1741,1639,1445,1741,41.56,14.86,56.97,41.56,14.86,56.97,4.53,4.1,14.84,4.53,4.1,14.84,29.81,8.83,35.04,29.81,8.83,35.04,7.22,1.92,7.09,7.22,1.92,7.09,332,2737,104,332,2737,104,0.6552,0.4737,0.7941,0.6552,0.4737,0.7941,143,193
1424,1640,1604,1424,1640,1604,12.51,41.71,36.26,12.51,41.71,36.26,5.48,6.54,10.61,5.48,6.54,10.61,4.5,31.68,19.37,4.5,31.68,19.37,2.53,3.5,6.28,2.53,3.5,6.28,3080,330,500,3080,330,500,0.4118,0.6333,0.6296,0.4118,0.6333,0.6296,101,90
1424,1640,1604,1424,1640,1604,12.51,41.71,36.26,12.51,41.71,36.26,5.48,6.54,10.61,5.48,6.54,10.61,4.5,31.68,19.37,4.5,31.68,19.37,2.53,3.5,6.28,2.53,3.5,6.28,3080,330,500,3080,330,500,0.4118,0.6333,0.6296,0.4118,0.6333,0.6296,96,128
1497,1492,1529,1497,1492,1529,21.11,20.41,25.43,21.11,20.41,25.43,2.61,3.18,2.83,2.61,3.18,2.83,15.78,10.73,16.14,15.78,10.73,16.14,2.72,6.49,6.46,2.72,6.49,6.46,1682,1773,1196,1682,1773,1196,0.4286,0.4667,0.4286,0.4286,0.4667,0.4286,63,163
1398,1573,1560,1398,1573,1560,9.77,31.76,29.82,9.77,31.76,29.82,3.4,6.07,5.01,3.4,6.07,5.01,5.29,24.49,23.14,5.29,24.49,23.14,1.07,1.19,1.66,1.07,1.19,1.66,3404,702,823,3404,702,823,0.4375,0.5625,0.625,0.4375,0.5625,0.625,83,109
1551,1498,1513,1551,1498,1513,28.5,21.19,23.25,28.5,21.19,23.25,3.1,2.23,6.46,3.1,2.23,6.46,23.38,13.09,17.02,23.38,13.09,17.02,2.02,5.86,-0.23,2.02,5.86,-0.23,917,1665,1417,917,1665,1417,0.4,0.5172,0.6,0.4,0.5172,0.6,85,143
1436,1568,1518,1436,1568,1518,13.88,31.03,23.9,13.88,31.03,23.9,2.85,5.18,7.62,2.85,5.18,7.62,7.89,24.6,13.28,7.89,24.6,13.28,3.14,1.25,3.0,3.14,1.25,3.0,2900,753,1346,2900,753,1346,0.2917,0.5,0.5714,0.2917,0.5,0.5714,66,110
1398,1573,1560,1398,1573,1560,9.77,31.76,29.82,9.77,31.76,29.82,3.4,6.07,5.01,3.4,6.07,5.01,5.29,24.49,23.14,5.29,24.49,23.14,1.07,1.19,1.66,1.07,1.19,1.66,3404,702,823,3404,702,823,0.4375,0.5625,0.625,0.4375,0.5625,0.625,92,63
1436,1568,1518,1436,1568,1518,13.88,31.03,23.9,13.88,31.03,23.9,2.85,5.18,7.62,2.85,5.18,7.62,7.89,24.6,13.28,7.89,24.6,13.28,3.14,1.25,3.0,3.14,1.25,3.0,2900,753,1346,2900,753,1346,0.2917,0.5,0.5714,0.2917,0.5,0.5714,85,96
1424,1640,1604,1424,1640,1604,12.51,41.71,36.26,12.51,41.71,36.26,5.48,6.54,10.61,5.48,6.54,10.61,4.5,31.68,19.37,4.5,31.68,19.37,2.53,3.5,6.28,2.53,3.5,6.28,3080,330,500,3080,330,500,0.4118,0.6333,0.6296,0.4118,0.6333,0.6296,101,137
1648,1453,1653,1648,1453,1653,43.12,15.8,43.89,43.12,15.8,43.89,10.09,2.46,8.16,10.09,2.46,8.16,24.35,12.38,27.53,24.35,12.38,27.53,8.68,0.96,8.19,8.68,0.96,8.19,281,2605,268,281,2605,268,0.5,0.2667,0.6667,0.5,0.2667,0.6667,121,129
1551,1498,1513,1551,1498,1513,28.5,21.19,23.25,28.5,21.19,23.25,3.1,2.23,6.46,3.1,2.23,6.46,23.38,13.09,17.02,23.38,13.09,17.02,2.02,5.86,-0.23,2.02,5.86,-0.23,917,1665,1417,917,1665,1417,0.4,0.5172,0.6,0.4,0.5172,0.6,106,124
1635,1477,1603,1635,1477,1603,40.97,18.62,36.24,40.97,18.62,36.24,7.37,6.52,10.17,7.37,6.52,10.17,26.9,9.11,22.29,26.9,9.11,22.29,6.69,2.98,3.79,6.69,2.98,3.79,343,2036,502,343,2036,502,0.9286,0.6429,0.7143,0.9286,0.6429,0.7143,108,86
1635,1477,1603,1635,1477,1603,40.97,18.62,36.24,40.97,18.62,36.24,7.37,6.52,10.17,7.37,6.52,10.17,26.9,9.11,22.29,26.9,9.11,22.29,6.69,2.98,3.79,6.69,2.98,3.79,343,2036,502,343,2036,502,0.9286,0.6429,0.7143,0.9286,0.6429,0.7143,106,94
1545,1430,1470,1545,1430,1470,27.62,13.21,17.77,27.62,13.21,17.77,3.71,4.0,3.71,3.71,4.0,3.71,23.65,6.82,11.91,23.65,6.82,11.91,0.27,2.38,2.15,0.27,2.38,2.15,984,2986,2283,984,2986,2283,0.6364,0.5,0.4545,0.6364,0.5,0.4545,58,12
1513,1431,1447,1513,1431,1447,23.19,13.35,15.08,23.19,13.35,15.08,4.11,3.22,4.31,4.11,3.22,4.31,15.04,8.51,8.54,15.04,8.51,8.54,4.05,1.63,2.23,4.05,1.63,2.23,1427,2969,2709,1427,2969,2709,0.5,0.25,0.375,0.5,0.25,0.375,39,106
1469,1426,1475,1469,1426,1475,17.55,12.72,18.38,17.55,12.72,18.38,3.54,2.49,3.8,3.54,2.49,3.8,12.36,8.87,8.11,12.36,8.87,8.11,1.65,1.36,6.47,1.65,1.36,6.47,2321,3042,2073,2321,3042,2073,0.625,0.4444,0.3077,0.625,0.4444,0.3077,37,61
1470,1526,1456,1470,1526,1456,17.77,24.94,16.09,17.77,24.94,16.09,3.71,4.53,4.58,3.71,4.53,4.58,11.91,19.03,10.34,11.91,19.03,10.34,2.15,1.38,1.17,2.15,1.38,1.17,2283,1236,2558,2283,1236,2558,0.4545,0.5,0.75,0.4545,0.5,0.75,72,35
1457,1537,1635,1457,1537,1635,16.16,26.59,40.97,16.16,26.59,40.97,3.83,4.59,7.37,3.83,4.59,7.37,10.86,15.35,26.9,10.86,15.35,26.9,1.48,6.64,6.69,1.48,6.64,6.69,2544,1081,343,2544,1081,343,0.375,0.6364,0.9286,0.375,0.6364,0.9286,85,63
1473,1440,1603,1473,1440,1603,18.07,14.32,36.24,18.07,14.32,36.24,4.55,5.36,10.17,4.55,5.36,10.17,12.37,7.01,22.29,12.37,7.01,22.29,1.15,1.94,3.79,1.15,1.94,3.79,2118,2828,502,2118,2828,502,0.5455,0.125,0.7143,0.5455,0.125,0.7143,120,8
1486,1523,1586,1486,1523,1586,19.64,24.61,33.62,19.64,24.61,33.62,3.09,5.52,9.31,3.09,5.52,9.31,13.6,16.46,21.42,13.6,16.46,21.42,2.96,2.63,2.89,2.96,2.63,2.89,1876,1275,607,1876,1275,607,0.625,0.6667,0.6154,0.625,0.6667,0.6154,73,69
1480,1451,1586,1480,1451,1586,18.97,15.52,33.7,18.97,15.52,33.7,5.32,3.71,6.15,5.32,3.71,6.15,11.88,9.2,22.13,11.88,9.2,22.13,1.77,2.61,5.41,1.77,2.61,5.41,1980,2643,605,1980,2643,605,0.4615,0.5,0.6,0.4615,0.5,0.6,58,59
1389,1583,1406,1389,1583,1406,8.92,33.2,10.65,8.92,33.2,10.65,2.92,6.35,3.22,2.92,6.35,3.22,4.07,24.29,5.25,4.07,24.29,5.25,1.94,2.56,2.18,1.94,2.56,2.18,3465,632,3313,3465,632,3313,0.25,0.5833,0.2,0.25,0.5833,0.2,43,70
1382,1431,1331,1382,1431,1331,8.16,13.35,3.08,8.16,13.35,3.08,1.85,3.22,2.49,1.85,3.22,2.49,4.87,8.51,0.39,4.87,8.51,0.39,1.44,1.63,0.2,1.44,1.63,0.2,3526,2969,3690,3526,2969,3690,0.25,0.25,0.25,0.25,0.25,0.25,13,75
1406,1407,1477,1406,1407,1477,10.69,10.79,18.62,10.69,10.79,18.62,3.21,3.03,6.52,3.21,3.03,6.52,6.89,5.68,9.11,6.89,5.68,9.11,0.59,2.09,2.98,0.59,2.09,2.98,3307,3295,2036,3307,3295,2036,0.25,0.375,0.6429,0.25,0.375,0.6429,14,25
1609,1435,1526,1609,1435,1526,37.1,13.75,24.94,37.1,13.75,24.94,11.52,2.93,4.53,11.52,2.93,4.53,22.89,7.89,19.03,22.89,7.89,19.03,2.69,2.93,1.38,2.69,2.93,1.38,466,2922,1236,466,2922,1236,0.6923,0.5,0.5,0.6923,0.5,0.5,69,99
1476,1413,1566,1476,1413,1566,18.4,11.39,30.66,18.4,11.39,30.66,3.74,3.08,3.47,3.74,3.08,3.47,13.28,6.3,23.16,13.28,6.3,23.16,1.38,2.01,4.03,1.38,2.01,4.03,2071,3225,772,2071,3225,772,0.5,0.625,0.6,0.5,0.625,0.6,74,67
1470,1426,1366,1470,1426,1366,17.77,12.72,6.53,17.77,12.72,6.53,3.71,2.49,3.13,3.71,2.49,3.13,11.91,8.87,1.24,11.91,8.87,1.24,2.15,1.36,2.15,2.15,1.36,2.15,2283,3042,3597,2283,3042,3597,0.4545,0.4444,0.25,0.4545,0.4444,0.25,45,81
1516,1406,1441,1516,1406,1441,23.54,10.61,14.44,23.54,10.61,14.44,3.66,2.83,3.74,3.66,2.83,3.74,19.19,8.04,8.29,19.19,8.04,8.29,0.69,-0.26,2.4,0.69,-0.26,2.4,1378,3315,2815,1378,3315,2815,0.7,0.375,0.375,0.7,0.375,0.375,49,46
1537,1539,1609,1537,1539,1609,26.59,26.74,37.1,26.59,26.74,37.1,4.59,4.99,11.52,4.59,4.99,11.52,15.35,16.13,22.89,15.35,16.13,22.89,6.64,5.62,2.69,6.64,5.62,2.69,1081,1065,466,1081,1065,466,0.6364,0.5,0.6923,0.6364,0.5,0.6923,91,54
1467,1603,1523,1467,1603,1523,17.31,36.24,24.61,17.31,36.24,24.61,4.64,10.17,5.52,4.64,10.17,5.52,10.78,22.29,16.46,10.78,22.29,16.46,1.9,3.79,2.63,1.9,3.79,2.63,2369,502,1275,2369,502,1275,0.5,0.7143,0.6667,0.5,0.7143,0.6667,97,123
1430,1400,1450,1430,1400,1450,13.22,10.07,15.44,13.22,10.07,15.44,1.91,2.28,3.71,1.91,2.28,3.71,8.26,6.06,10.69,8.26,6.06,10.69,3.04,1.73,1.04,3.04,1.73,1.04,2985,3371,2654,2985,3371,2654,0.25,0.25,0.5,0.25,0.25,0.5,25,43
1486,1389,1407,1486,1389,1407,19.63,8.92,10.79,19.63,8.92,10.79,4.68,2.92,3.03,4.68,2.92,3.03,13.37,4.07,5.68,13.37,4.07,5.68,1.58,1.94,2.09,1.58,1.94,2.09,1879,3465,3295,1879,3465,3295,0.625,0.25,0.375,0.625,0.25,0.375,44,75
1482,1354,1566,1482,1354,1566,19.2,5.41,30.66,19.2,5.41,30.66,3.81,3.74,3.47,3.81,3.74,3.47,13.83,1.73,23.16,13.83,1.73,23.16,1.56,-0.06,4.03,1.56,-0.06,4.03,1947,3644,772,1947,3644,772,0.5,0.5,0.6,0.5,0.5,0.6,70,51
1477,1586,1545,1477,1586,1545,18.62,33.62,27.62,18.62,33.62,27.62,6.52,9.31,3.71,6.52,9.31,3.71,9.11,21.42,23.65,9.11,21.42,23.65,2.98,2.89,0.27,2.98,2.89,0.27,2036,607,984,2036,607,984,0.6429,0.6154,0.6364,0.6429,0.6154,0.6364,85,93
1505,1410,1486,1505,1410,1486,22.14,11.07,19.64,22.14,11.07,19.64,3.63,3.14,3.09,3.63,3.14,3.09,15.6,7.26,13.6,15.6,7.26,13.6,2.91,0.66,2.96,2.91,0.66,2.96,1558,3258,1876,1558,3258,1876,0.6364,0.5,0.625,0.6364,0.5,0.625,33,29
1457,1482,1398,1457,1482,1398,16.16,19.2,9.82,16.16,19.2,9.82,3.83,3.81,2.08,3.83,3.81,2.08,10.86,13.83,5.59,10.86,13.83,5.59,1.48,1.56,2.15,1.48,1.56,2.15,2544,1947,3397,2544,1947,3397,0.375,0.5,0.125,0.375,0.5,0.125,29,85
1570,1516,1406,1570,1516,1406,31.25,23.54,10.65,31.25,23.54,10.65,6.48,3.66,3.22,6.48,3.66,3.22,22.77,19.19,5.25,22.77,19.19,5.25,2.0,0.69,2.18,2.0,0.69,2.18,741,1378,3313,741,1378,3313,0.6923,0.7,0.2,0.6923,0.7,0.2,71,45
1609,1467,1431,1609,1467,1431,37.1,17.31,13.35,37.1,17.31,13.35,11.52,4.64,3.22,11.52,4.64,3.22,22.89,10.78,8.51,22.89,10.78,8.51,2.69,1.9,1.63,2.69,1.9,1.63,466,2369,2969,466,2369,2969,0.6923,0.5,0.25,0.6923,0.5,0.25,78,53
1448,1400,1440,1448,1400,1440,15.16,10.07,14.32,15.16,10.07,14.32,3.11,2.28,5.36,3.11,2.28,5.36,9.13,6.06,7.01,9.13,6.06,7.01,2.92,1.73,1.94,2.92,1.73,1.94,2688,3371,2828,2688,3371,2828,0.625,0.25,0.125,0.625,0.25,0.125,51,65
1451,1407,1635,1451,1407,1635,15.52,10.79,40.97,15.52,10.79,40.97,3.71,3.03,7.37,3.71,3.03,7.37,9.2,5.68,26.9,9.2,5.68,26.9,2.61,2.09,6.69,2.61,2.09,6.69,2643,3295,343,2643,3295,343,0.5,0.375,0.9286,0.5,0.375,0.9286,74,33
1366,1537,1479,1366,1537,1479,6.53,26.59,18.85,6.53,26.59,18.85,3.13,4.59,4.23,3.13,4.59,4.23,1.24,15.35,12.31,1.24,15.35,12.31,2.15,6.64,2.31,2.15,6.64,2.31,3597,1081,1997,3597,1081,1997,0.25,0.6364,0.5,0.25,0.6364,0.5,36,58
1457,1430,1354,1457,1430,1354,16.16,13.21,5.41,16.16,13.21,5.41,3.83,4.0,3.74,3.83,4.0,3.74,10.86,6.82,1.73,10.86,6.82,1.73,1.48,2.38,-0.06,1.48,2.38,-0.06,2544,2986,3644,2544,2986,3644,0.375,0.5,0.5,0.375,0.5,0.5,29,115
1469,1480,1486,1469,1480,1486,17.55,18.97,19.63,17.55,18.97,19.63,3.54,5.32,4.68,3.54,5.32,4.68,12.36,11.88,13.37,12.36,11.88,13.37,1.65,1.77,1.58,1.65,1.77,1.58,2321,1980,1879,2321,1980,1879,0.625,0.4615,0.625,0.625,0.4615,0.625,59,57
1450,1586,1435,1450,1586,1435,15.44,33.62,13.75,15.44,33.62,13.75,3.71,9.31,2.93,3.71,9.31,2.93,10.69,21.42,7.89,10.69,21.42,7.89,1.04,2.89,2.93,1.04,2.89,2.93,2654,607,2922,2654,607,2922,0.5,0.6154,0.5,0.5,0.6154,0.5,44,58
1387,1486,1447,1387,1486,1447,8.64,19.64,15.08,8.64,19.64,15.08,2.77,3.09,4.31,2.77,3.09,4.31,4.31,13.6,8.54,4.31,13.6,8.54,1.56,2.96,2.23,1.56,2.96,2.23,3485,1876,2709,3485,1876,2709,0.125,0.625,0.375,0.125,0.625,0.375,57,109
1406,1473,1417,1406,1473,1417,10.65,18.07,11.84,10.65,18.07,11.84,3.22,4.55,3.12,3.22,4.55,3.12,5.25,12.37,6.51,5.25,12.37,6.51,2.18,1.15,2.21,2.18,1.15,2.21,3313,2118,3163,3313,2118,3163,0.2,0.5455,0.2,0.2,0.5455,0.2,27,87
1406,1475,1410,1406,1475,1410,10.69,18.38,11.07,10.69,18.38,11.07,3.21,3.8,3.14,3.21,3.8,3.14,6.89,8.11,7.26,6.89,8.11,7.26,0.59,6.47,0.66,0.59,6.47,0.66,3307,2073,3258,3307,2073,3258,0.25,0.3077,0.5,0.25,0.3077,0.5,17,31
1513,1479,1382,1513,1479,1382,23.19,18.85,8.16,23.19,18.85,8.16,4.11,4.23,1.85,4.11,4.23,1.85,15.04,12.31,4.87,15.04,12.31,4.87,4.05,2.31,1.44,4.05,2.31,1.44,1427,1997,3526,1427,1997,3526,0.5,0.5,0.25,0.5,0.5,0.25,49,43
1398,1406,1448,1398,1406,1448,9.82,10.69,15.16,9.82,10.69,15.16,2.08,3.21,3.11,2.08,3.21,3.11,5.59,6.89,9.13,5.59,6.89,9.13,2.15,0.59,2.92,2.15,0.59,2.92,3397,3307,2688,3397,3307,2688,0.125,0.25,0.625,0.125,0.25,0.625,17,66
1575,1354,1570,1575,1354,1570,32.09,5.41,31.25,32.09,5.41,31.25,5.99,3.74,6.48,5.99,3.74,6.48,22.72,1.73,22.77,22.72,1.73,22.77,3.37,-0.06,2.0,3.37,-0.06,2.0,682,3644,741,682,3644,741,0.8462,0.5,0.6923,0.8462,0.5,0.6923,64,31
1537,1527,1586,1537,1527,1586,26.59,25.16,33.7,26.59,25.16,33.7,4.59,2.49,6.15,4.59,2.49,6.15,15.35,21.51,22.13,15.35,21.51,22.13,6.64,1.15,5.41,6.64,1.15,5.41,1081,1217,605,1081,1217,605,0.6364,0.5833,0.6,0.6364,0.5833,0.6,112,75
1389,1400,1635,1389,1400,1635,8.92,10.07,40.97,8.92,10.07,40.97,2.92,2.28,7.37,2.92,2.28,7.37,4.07,6.06,26.9,4.07,6.06,26.9,1.94,1.73,6.69,1.94,1.73,6.69,3465,3371,343,3465,3371,343,0.25,0.25,0.9286,0.25,0.25,0.9286,68,41
1473,1545,1426,1473,1545,1426,18.07,27.62,12.72,18.07,27.62,12.72,4.55,3.71,2.49,4.55,3.71,2.49,12.37,23.65,8.87,12.37,23.65,8.87,1.15,0.27,1.36,1.15,0.27,1.36,2118,984,3042,2118,984,3042,0.5455,0.6364,0.4444,0.5455,0.6364,0.4444,51,44
1331,1366,1387,1331,1366,1387,3.08,6.53,8.64,3.08,6.53,8.64,2.49,3.13,2.77,2.49,3.13,2.77,0.39,1.24,4.31,0.39,1.24,4.31,0.2,2.15,1.56,0.2,2.15,1.56,3690,3597,3485,3690,3597,3485,0.25,0.25,0.125,0.25,0.25,0.125,27,85
1413,1410,1450,1413,1410,1450,11.39,11.07,15.44,11.39,11.07,15.44,3.08,3.14,3.71,3.08,3.14,3.71,6.3,7.26,10.69,6.3,7.26,10.69,2.01,0.66,1.04,2.01,0.66,1.04,3225,3258,2654,3225,3258,2654,0.625,0.5,0.5,0.625,0.5,0.5,33,68
1430,1382,1539,1430,1382,1539,13.22,8.16,26.74,13.22,8.16,26.74,1.91,1.85,4.99,1.91,1.85,4.99,8.26,4.87,16.13,8.26,4.87,16.13,3.04,1.44,5.62,3.04,1.44,5.62,2985,3526,1065,2985,3526,1065,0.25,0.25,0.5,0.25,0.25,0.5,53,75
1505,1477,1469,1505,1477,1469,22.14,18.62,17.55,22.14,18.62,17.55,3.63,6.52,3.54,3.63,6.52,3.54,15.6,9.11,12.36,15.6,9.11,12.36,2.91,2.98,1.65,2.91,2.98,1.65,1558,2036,2321,1558,2036,2321,0.6364,0.6429,0.625,0.6364,0.6429,0.625,61,40
1456,1479,1603,1456,1479,1603,16.09,18.85,36.24,16.09,18.85,36.24,4.58,4.23,10.17,4.58,4.23,10.17,10.34,12.31,22.29,10.34,12.31,22.29,1.17,2.31,3.79,1.17,2.31,3.79,2558,1997,502,2558,1997,502,0.75,0.5,0.7143,0.75,0.5,0.7143,52,20
1430,1635,1486,1430,1635,1486,13.21,40.97,19.63,13.21,40.97,19.63,4.0,7.37,4.68,4.0,7.37,4.68,6.82,26.9,13.37,6.82,26.9,13.37,2.38,6.69,1.58,2.38,6.69,1.58,2986,343,1879,2986,343,1879,0.5,0.9286,0.625,0.5,0.9286,0.625,88,77
1476,1575,1426,1476,1575,1426,18.4,32.09,12.72,18.4,32.09,12.72,3.74,5.99,2.49,3.74,5.99,2.49,13.28,22.72,8.87,13.28,22.72,8.87,1.38,3.37,1.36,1.38,3.37,1.36,2071,682,3042,2071,682,3042,0.5,0.8462,0.4444,0.5,0.8462,0.4444,134,80
1407,1609,1480,1407,1609,1480,10.79,37.1,18.97,10.79,37.1,18.97,3.03,11.52,5.32,3.03,11.52,5.32,5.68,22.89,11.88,5.68,22.89,11.88,2.09,2.69,1.77,2.09,2.69,1.77,3295,466,1980,3295,466,1980,0.375,0.6923,0.4615,0.375,0.6923,0.4615,67,53
1570,1441,1527,1570,1441,1527,31.25,14.44,25.16,31.25,14.44,25.16,6.48,3.74,2.49,6.48,3.74,2.49,22.77,8.29,21.51,22.77,8.29,21.51,2.0,2.4,1.15,2.0,2.4,1.15,741,2815,1217,741,2815,1217,0.6923,0.375,0.5833,0.6923,0.375,0.5833,62,100
1387,1583,1398,1387,1583,1398,8.64,33.2,9.82,8.64,33.2,9.82,2.77,6.35,2.08,2.77,6.35,2.08,4.31,24.29,5.59,4.31,24.29,5.59,1.56,2.56,2.15,1.56,2.56,2.15,3485,632,3397,3485,632,3397,0.125,0.5833,0.125,0.125,0.5833,0.125,56,70
1389,1475,1430,1389,1475,1430,8.92,18.38,13.22,8.92,18.38,13.22,2.92,3.8,1.91,2.92,3.8,1.91,4.07,8.11,8.26,4.07,8.11,8.26,1.94,6.47,3.04,1.94,6.47,3.04,3465,2073,2985,3465,2073,2985,0.25,0.3077,0.25,0.25,0.3077,0.25,39,43
1417,1440,1354,1417,1440,1354,11.84,14.32,5.41,11.84,14.32,5.41,3.12,5.36,3.74,3.12,5.36,3.74,6.51,7.01,1.73,6.51,7.01,1.73,2.21,1.94,-0.06,2.21,1.94,-0.06,3163,2828,3644,3163,2828,3644,0.2,0.125,0.5,0.2,0.125,0.5,26,49
1539,1516,1505,1539,1516,1505,26.74,23.54,22.14,26.74,23.54,22.14,4.99,3.66,3.63,4.99,3.66,3.63,16.13,19.19,15.6,16.13,19.19,15.6,5.62,0.69,2.91,5.62,0.69,2.91,1065,1378,1558,1065,1378,1558,0.5,0.7,0.6364,0.5,0.7,0.6364,93,46
1331,1424,1469,1331,1424,1469,3.08,12.55,17.55,3.08,12.55,17.55,2.49,3.37,3.54,2.49,3.37,3.54,0.39,8.49,12.36,0.39,8.49,12.36,0.2,0.69,1.65,0.2,0.69,1.65,3690,3075,2321,3690,3075,2321,0.25,0.25,0.625,0.25,0.25,0.625,31,29
1451,1456,1435,1451,1456,1435,15.52,16.09,13.75,15.52,16.09,13.75,3.71,4.58,2.93,3.71,4.58,2.93,9.2,10.34,7.89,9.2,10.34,7.89,2.61,1.17,2.93,2.61,1.17,2.93,2643,2558,2922,2643,2558,2922,0.5,0.75,0.5,0.5,0.75,0.5,55,102
1467,1430,1575,1467,1430,1575,17.31,13.22,32.09,17.31,13.22,32.09,4.64,1.91,5.99,4.64,1.91,5.99,10.78,8.26,22.72,10.78,8.26,22.72,1.9,3.04,3.37,1.9,3.04,3.37,2369,2985,682,2369,2985,682,0.5,0.25,0.8462,0.5,0.25,0.8462,56,14
1486,1570,1545,1486,1570,1545,19.63,31.25,27.62,19.63,31.25,27.62,4.68,6.48,3.71,4.68,6.48,3.71,13.37,22.77,23.65,13.37,22.77,23.65,1.58,2.0,0.27,1.58,2.0,0.27,1879,741,984,1879,741,984,0.625,0.6923,0.6364,0.625,0.6923,0.6364,95,102
1527,1475,1366,1527,1475,1366,25.16,18.38,6.53,25.16,18.38,6.53,2.49,3.8,3.13,2.49,3.8,3.13,21.51,8.11,1.24,21.51,8.11,1.24,1.15,6.47,2.15,1.15,6.47,2.15,1217,2073,3597,1217,2073,3597,0.5833,0.3077,0.25,0.5833,0.3077,0.25,47,74
1417,1410,1482,1417,1410,1482,11.84,11.07,19.2,11.84,11.07,19.2,3.12,3.14,3.81,3.12,3.14,3.81,6.51,7.26,13.83,6.51,7.26,13.83,2.21,0.66,1.56,2.21,0.66,1.56,3163,3258,1947,3163,3258,1947,0.2,0.5,0.5,0.2,0.5,0.5,36,101
1406,1480,1513,1406,1480,1513,10.65,18.97,23.19,10.65,18.97,23.19,3.22,5.32,4.11,3.22,5.32,4.11,5.25,11.88,15.04,5.25,11.88,15.04,2.18,1.77,4.05,2.18,1.77,4.05,3313,1980,1427,3313,1980,1427,0.2,0.4615,0.5,0.2,0.4615,0.5,56,66
1426,1516,1387,1426,1516,1387,12.72,23.54,8.64,12.72,23.54,8.64,2.49,3.66,2.77,2.49,3.66,2.77,8.87,19.19,4.31,8.87,19.19,4.31,1.36,0.69,1.56,1.36,0.69,1.56,3042,1378,3485,3042,1378,3485,0.4444,0.7,0.125,0.4444,0.7,0.125,37,25
1566,1467,1406,1566,1467,1406,30.66,17.31,10.61,30.66,17.31,10.61,3.47,4.64,2.83,3.47,4.64,2.83,23.16,10.78,8.04,23.16,10.78,8.04,4.03,1.9,-0.26,4.03,1.9,-0.26,772,2369,3315,772,2369,3315,0.6,0.5,0.375,0.6,0.5,0.375,76,88
1479,1526,1431,1479,1526,1431,18.85,24.94,13.35,18.85,24.94,13.35,4.23,4.53,3.22,4.23,4.53,3.22,12.31,19.03,8.51,12.31,19.03,8.51,2.31,1.38,1.63,2.31,1.38,1.63,1997,1236,2969,1997,1236,2969,0.5,0.5,0.25,0.5,0.5,0.25,70,86
